City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
106,Bocas Del Toro,PA,78.6,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
108,Norman Wells,CA,77.04,broken clouds,65.282,-126.8329,Heritage Hotel
110,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
119,Ribeira Grande,PT,70.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
120,Hunchun,CN,68.77,overcast clouds,42.8675,130.3581,International Hotel
121,Seoul,KR,70.99,light rain,37.5683,126.9778,LOTTE HOTEL SEOUL
122,Nikolskoye,RU,65.88,broken clouds,59.7035,30.7861,Tourist House - Sablino
123,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
125,Hami,CN,65.44,few clouds,42.8,93.45,Laoyutang Resort
130,Havelock,US,82.38,light rain,34.8791,-76.9013,Sherwood Motel
131,Saint-Pierre,RE,67.68,few clouds,-21.3393,55.4781,Alize Plage
135,Boysun,UZ,76.15,clear sky,38.2061,67.1986,Gaza Hotel
136,La Rioja,ES,60.58,clear sky,42.25,-2.5,Casa Concejos
137,Vigrestad,NO,62.96,overcast clouds,58.5667,5.7,Brusand Camping
138,Verkhnevilyuysk,RU,60.08,overcast clouds,63.4453,120.3167,Gostinitsa Mila
139,Zhanaozen,KZ,79.43,few clouds,43.3,52.8,K.korabay 28A
142,Zemio,CF,67.33,broken clouds,5.0314,25.1361,OCHA Office
143,Yelizovo,RU,62.11,scattered clouds,53.1873,158.3805,Kamchatskiy Stil' Hostel
144,Qui Nhon,VN,75.54,overcast clouds,13.7667,109.2333,Seagull Hotel
145,Posse,BR,69.15,clear sky,-14.0931,-46.3694,Pousada das Palmeiras
146,Matay,EG,79.65,clear sky,28.419,30.7792,Nag Aespen
147,Bubaque,GW,77.02,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
148,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
149,Agogo,GH,65.39,broken clouds,6.8,-1.0819,"Ebenezer Hostel, Agogo"
150,Lulea,SE,60.87,overcast clouds,65.5842,22.1547,Comfort Hotel Arctic
156,Balkhash,KZ,77.61,clear sky,46.844,74.9804,Family
160,Nichinan,JP,83.88,overcast clouds,31.6,131.3667,Guest House Aki
161,Krasnoarmeysk,RU,62.35,broken clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
162,Saint-Francois,FR,63.84,broken clouds,46.4154,3.9054,Manoir Du Bonheur
163,Poronaysk,RU,63.41,overcast clouds,49.2167,143.1167,Avtovokzal Khostel Stolovaya
165,Port Blair,IN,78.84,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
166,Ewa Beach,US,83.43,light rain,21.3156,-158.0072,Base Lodging
168,Honjo,JP,82.44,overcast clouds,36.2333,139.1833,Hotel Honjo
169,Diego De Almagro,CL,60.46,overcast clouds,-26.3667,-70.05,hotel luna del desierto
170,Lipari,IT,77.32,clear sky,38.4674,14.954,Hotel Villa Augustus
172,Kavaratti,IN,81.03,overcast clouds,10.5669,72.642,Green leaf
173,Kupang,ID,79.27,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
174,Ashland,US,84.74,clear sky,40.8167,-82.2665,SureStay
175,Asau,RO,68.92,few clouds,46.4333,26.4,Casa Mika Ciobanus
177,Cidreira,BR,62.15,clear sky,-30.1811,-50.2056,Hotel Castelo
178,Ucluelet,CA,63.09,clear sky,48.9329,-125.5528,Black Rock Oceanfront Resort
179,Bairiki,KI,78.8,light intensity shower rain,1.3292,172.9752,Tarawa Boutique Hotel
180,Wittenberge,DE,80.01,scattered clouds,53.0,11.75,Elbe Resort Wittenberge
182,Fare,PF,77.72,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
184,Richards Bay,ZA,62.06,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
185,Aberdeen,GB,60.21,broken clouds,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
186,Sibolga,ID,75.36,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
188,Espinosa,BR,66.88,scattered clouds,-14.9261,-42.8192,Hotel Vilma
192,Axim,GH,73.11,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
193,Sao Felix Do Xingu,BR,81.01,broken clouds,-6.6447,-51.995,Rio Xingu Camping
196,Puerto Ayora,EC,67.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
197,Alofi,NU,76.89,light intensity shower rain,-19.0595,-169.9187,Taloa Heights
199,Inhambane,MZ,67.35,clear sky,-23.865,35.3833,Oceano
