City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
243,Villamontes,BO,-21.25,-63.5,77.77,45,84,8.72,broken clouds
244,Sao Lourenco Do Oeste,BR,-26.3592,-52.8511,59.63,92,7,3.38,clear sky
245,Carnarvon,AU,-24.8667,113.6333,72.37,77,61,14.14,broken clouds
246,Aklavik,CA,68.2191,-135.0107,66.2,59,75,5.75,broken clouds
247,Tazovskiy,RU,67.4667,78.7,45.03,89,92,11.61,overcast clouds
248,Tefe,BR,-3.3542,-64.7114,80.71,89,20,2.3,few clouds
249,Mangan,IN,27.5167,88.5333,75.31,92,100,0.58,overcast clouds
250,Tigil,RU,57.8,158.6667,74.28,55,30,8.97,scattered clouds
251,Berbera,SO,10.4396,45.0143,87.71,42,62,30.02,broken clouds
252,Krasnyy Chikoy,RU,50.3643,108.7512,62.11,70,56,1.32,broken clouds
253,Kahului,US,20.8947,-156.47,83.97,61,20,24.16,few clouds
254,Fairbanks,US,64.8378,-147.7164,68.09,51,75,9.22,broken clouds
255,Alberton,CA,46.8168,-64.0654,71.73,71,3,9.86,clear sky
256,Codrington,AU,-38.2667,141.9667,47.97,62,1,7.16,clear sky
257,Rundu,NA,-17.9333,19.7667,50.56,40,2,5.75,clear sky
258,Micheweni,TZ,-4.9667,39.8333,74.43,78,35,14.76,scattered clouds
259,Gat,IL,31.61,34.7642,77.68,100,0,4.23,clear sky
260,Diebougou,BF,10.9667,-3.25,71.87,93,40,4.92,scattered clouds
261,Katherine,AU,-14.4667,132.2667,70.12,49,36,5.75,scattered clouds
262,Otavi,NA,-19.65,17.3333,54.84,36,0,7.67,clear sky
263,Alekseyevsk,RU,57.8406,108.3492,60.12,83,64,3.22,broken clouds
264,Avarua,CK,-21.2078,-159.775,75.25,69,75,16.11,broken clouds
265,Coquimbo,CL,-29.9533,-71.3436,53.33,87,100,2.3,overcast clouds
266,Mount Gambier,AU,-37.8333,140.7667,49.05,63,5,6.29,clear sky
267,Seymchan,RU,62.8833,152.4333,46.44,73,100,9.64,overcast clouds
268,Lagoa,PT,39.05,-27.9833,71.38,82,8,5.08,clear sky
269,Nalut,LY,30.3333,10.85,81.32,26,0,13.56,clear sky
270,Sangar,RU,63.9242,127.4739,62.47,94,100,5.08,light rain
271,High Rock,BS,26.6208,-78.2833,86.02,72,1,11.25,clear sky
272,Pizarro,CO,4.9533,-77.366,77.07,91,98,9.55,moderate rain
273,College,US,64.8569,-147.8028,68.09,53,75,9.22,broken clouds
274,Ridgecrest,US,35.6225,-117.6709,109.65,9,75,14.0,broken clouds
275,Korla,CN,41.7597,86.1469,67.21,48,0,1.57,clear sky
276,Mount Isa,AU,-20.7333,139.5,58.77,31,0,9.22,clear sky
277,Pyapon,MM,16.2833,95.6833,77.67,92,100,7.16,very heavy rain
278,Abnub,EG,27.2696,31.1511,84.42,35,2,16.24,clear sky
279,Lazaro Cardenas,MX,17.9583,-102.2,84.81,79,11,5.95,few clouds
280,Yerbogachen,RU,61.2767,108.0108,61.39,81,79,4.63,broken clouds
281,Vila,PT,42.0304,-8.1588,61.7,73,0,4.52,clear sky
282,Iskateley,RU,67.6803,53.1512,48.25,92,60,12.01,broken clouds
283,Scottsbluff,US,41.8666,-103.6672,97.92,15,0,5.75,clear sky
284,Qaqortoq,GL,60.7167,-46.0333,49.37,91,63,3.04,broken clouds
285,Zyryanka,RU,65.75,150.85,56.7,48,68,5.73,broken clouds
286,Nouakchott,MR,18.0858,-15.9785,76.93,83,99,16.96,overcast clouds
287,Kruisfontein,ZA,-34.0033,24.7314,51.89,89,91,5.93,overcast clouds
288,Ekhabi,RU,53.5102,142.9671,57.67,90,100,10.71,overcast clouds
289,Padang,ID,-0.9492,100.3543,73.45,84,49,3.27,scattered clouds
290,Viisoara,RO,46.55,23.9167,69.76,64,0,5.99,clear sky
291,Olafsvik,IS,64.8945,-23.7142,50.38,76,75,8.05,broken clouds
292,Mapiri,BO,-15.25,-68.1667,67.12,86,72,0.98,broken clouds
293,Fortuna,US,40.5982,-124.1573,70.93,70,33,3.0,scattered clouds
294,Broome,US,42.2506,-75.833,87.01,55,20,8.05,few clouds
295,Ilulissat,GL,69.2167,-51.1,59.02,41,75,16.11,broken clouds
296,Boa Vista,BR,2.8197,-60.6733,85.98,62,20,2.3,few clouds
297,Lasa,IT,46.6166,10.7002,68.36,86,25,1.68,scattered clouds
298,Friedeburg,DE,53.45,7.8333,67.91,94,40,5.48,scattered clouds
299,Southbridge,US,42.0751,-72.0334,87.82,75,56,5.44,broken clouds
300,Chapais,CA,49.7834,-74.8492,71.38,64,91,6.2,overcast clouds
301,El Ocotito,MX,17.25,-99.5667,78.93,87,67,2.17,broken clouds
302,Mahon,ES,39.8885,4.2658,75.76,94,0,8.05,clear sky
303,Kolno,PL,53.4115,21.9291,59.18,81,21,0.27,few clouds
304,Clyde River,CA,70.4692,-68.5914,37.63,100,100,10.36,light rain
305,Dukat,RU,62.55,155.55,50.18,43,97,8.57,overcast clouds
306,Sept-Iles,CA,50.2001,-66.3821,79.32,42,20,9.22,few clouds
307,Vanimo,PG,-2.6741,141.3028,78.28,85,100,4.38,overcast clouds
308,Cootamundra,AU,-34.65,148.0333,52.97,69,99,17.52,overcast clouds
309,Monterey,US,36.2505,-121.2516,97.18,16,0,12.64,clear sky
310,Prado,BR,-17.3411,-39.2208,70.5,82,7,7.38,clear sky
311,Sibu,MY,2.3,111.8167,77.31,88,40,5.01,scattered clouds
312,Harer,ET,9.3094,42.1258,56.98,93,100,3.85,light rain
313,Kasongo-Lunda,CD,-6.4667,16.8167,71.2,75,64,3.09,broken clouds
314,Tilichiki,RU,60.4667,166.1,62.96,40,6,7.11,clear sky
315,Taoudenni,ML,22.6783,-3.9836,93.67,31,52,1.7,broken clouds
316,Cam Ranh,VN,11.9214,109.1591,76.96,88,75,3.44,broken clouds
317,Tsiroanomandidy,MG,-18.7667,46.0333,56.3,77,21,5.12,few clouds
318,Katsuura,JP,35.1333,140.3,80.15,78,71,7.96,broken clouds
319,Adrar,MR,20.5022,-10.0711,90.75,26,62,9.8,broken clouds
320,Samarai,PG,-10.6167,150.6667,82.2,76,20,11.97,few clouds
321,Lavrentiya,RU,65.5833,-171.0,41.76,76,100,25.84,overcast clouds
322,Fort Nelson,CA,58.8053,-122.7002,74.79,33,75,5.75,broken clouds
323,Port Jervis,US,41.3751,-74.6927,89.38,70,6,6.71,clear sky
324,Alice Springs,AU,-23.7,133.8833,42.35,56,1,6.91,clear sky
325,Zhizdra,RU,53.746,34.7395,54.39,91,81,11.1,broken clouds
326,Lompoc,US,34.6391,-120.4579,91.02,65,0,17.27,clear sky
327,Russell,US,32.3502,-85.1999,91.0,75,82,8.99,broken clouds
